trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0238183,,0.0065664,0.0238183,0.5230586,0.5230586,0.5401518,0.8228063,1.6116485,right,10,1,1,0.9940584,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
1,2,8,1.622368,,1.6118873,1.622368,2.1243211,2.1243211,2.1243211,2.4394922,2.6073225,left,-8,1,1,0.4706179,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
2,2,6,2.6232972,,2.6075215,2.6232972,3.1070587,3.1070587,3.1233689,3.4066707,3.6569988,left,-6,1,1,0.54102,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
3,2,4,3.6733246,,3.6572361,3.6733246,4.1566302,4.1566302,4.1732465,4.4564777,4.7234806,left,-4,1,1,0.5623386,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
4,2,2,4.739936,,4.7236517,4.739936,5.2231647,5.2231647,5.2397949,5.5231305,6.2239718,left,-2,1,1,0.9979896,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
5,1,1,6.2401754,,6.224212,6.2401754,6.7235279,6.7235279,6.7400262,7.0231548,7.5735222,left,-1,0,0,0.8385121,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
6,1,2,7.5897047,,7.5737446,7.5897047,8.073135,8.073135,8.0898823,8.373211,8.6077051,right,2,1,1,0.5186791,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
7,1,2,8.6240759,,8.6080156,8.6240759,9.1235861,9.1235861,9.1235861,9.4233508,9.7239848,left,-2,1,1,0.5982722,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
8,1,2,9.7398516,,9.7242496,9.7398516,10.2236357,10.2236357,10.2402071,10.5234685,10.7739314,right,2,1,1,0.5421864,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
9,1,1,10.7899998,,10.7741117,10.7899998,11.2734013,11.2734013,11.2898092,11.573432,11.9569247,left,-1,1,1,0.6780054,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
10,1,1,11.9732635,,11.9570941,11.9732635,12.4566068,12.4566068,12.4733652,12.7564151,13.107146,right,1,1,1,0.6418541,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
11,1,1,13.1235403,,13.107371,13.1235403,13.6066441,13.6066441,13.6233856,13.9064343,14.1901272,left,-1,1,1,0.5783216,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
12,1,1,14.2064584,,14.190335,14.2064584,14.6900844,14.6900844,14.7062358,14.9900872,15.7232821,left,-1,1,1,1.0218457,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
13,1,1,15.7396176,,15.7234684,15.7396176,16.2235624,16.2235624,16.2401753,16.5235629,16.8569565,right,1,1,1,0.6212588,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
14,1,1,16.8731152,,16.8572008,16.8731152,17.3566911,17.3566911,17.3731775,17.6564591,18.0071157,left,-1,1,1,0.6341527,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
15,1,1,18.0231191,,18.0073283,18.0231191,18.5066086,18.5066086,18.5233421,18.8063551,19.0567482,right,1,1,1,0.5357213,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
16,1,1,19.0733758,,19.056941,19.0733758,19.5565023,19.5565023,19.5732729,19.8566414,20.2074855,left,-1,1,1,0.648121,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
17,1,1,20.2233646,,20.2077099,20.2233646,20.7084973,20.7084973,20.7253813,21.0078413,21.3742257,right,1,1,1,0.6506827,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
18,1,1,21.3903976,,21.3744875,21.3903976,21.8753332,21.8753332,21.8919432,22.1753378,22.6588137,right,1,1,1,0.7804487,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
19,1,1,22.6749439,,22.6592253,22.6749439,23.1582694,23.1582694,23.1749153,23.4562841,23.9736298,right,1,1,1,0.8062081,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
20,1,1,23.9889976,,23.9738614,23.9889976,24.4742475,24.4742475,24.4898863,24.7732595,25.2240631,left,-1,1,1,0.7477262,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
21,1,1,25.2399195,,25.2243471,25.2399195,25.7233516,25.7233516,25.7401069,26.0233861,26.2903641,left,-1,1,1,0.5591641,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
22,1,1,26.3067338,,26.2906045,26.3067338,26.7900417,26.7900417,26.8067885,27.0896892,27.6237311,right,1,1,1,0.8329153,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
23,1,1,27.6398728,,27.624007,27.6398728,28.1234781,28.1234781,28.1399901,28.4231805,28.7072293,right,1,1,1,0.5765329,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
24,1,1,28.7233241,,28.7074756,28.7233241,29.2078773,29.2078773,29.2236381,29.5227739,29.7568822,right,1,1,1,0.5424764,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
25,1,1,29.7731906,,29.7571279,29.7731906,30.2566294,30.2566294,30.2733828,30.5577086,30.8754497,right,1,1,1,0.6149845,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
26,1,1,30.891367,,30.875721,30.891367,31.3746209,31.3746209,31.3915303,31.6753587,31.9250126,right,1,1,1,0.5370286,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
27,1,1,31.9415479,,31.9252786,31.9415479,32.4245728,32.4245728,32.4416771,32.7255044,33.7927472,left,-1,1,1,1.3530381,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
28,1,1,33.8086614,,33.793065,33.8086614,34.3086299,34.3086299,34.3086299,34.6087459,35.0599484,right,1,1,1,0.7351893,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
29,1,1,35.0748743,,35.0602383,35.0748743,35.5757373,35.5757373,35.5757373,35.8751855,36.1769706,right,1,1,1,0.5979111,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
30,1,1,36.1917061,,36.1773607,36.1917061,36.6922187,36.6922187,36.6922187,36.9907394,37.3927696,right,1,1,1,0.6973411,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
31,1,1,37.4087941,,37.3930997,37.4087941,37.9092501,37.9092501,37.9092501,38.2082329,38.9443441,right,1,1,1,1.0332287,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
32,1,1,38.957744,,38.9446154,38.957744,39.4589287,39.4589287,39.4589287,39.7735787,40.1417431,right,1,1,1,0.6804555,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
33,1,1,40.1581356,,40.1420177,40.1581356,40.6413457,40.6413457,40.6584435,40.9398347,41.3243298,left,-1,1,1,0.6771064,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
34,1,1,41.3417748,,41.3246,41.3417748,41.8241128,41.8241128,41.8415597,42.1249176,42.6078021,right,1,1,1,0.7779604,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
35,1,1,42.6247895,,42.6080466,42.6247895,43.1084562,43.1084562,43.1250789,43.4088121,44.0102172,left,-1,1,1,0.8865504,1,1,2025-09-02_09h50.01.980,untitled,,2025.1.1,59.90588785,2025-09-02 09h50.13.190618 +0530
